Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800223136,03/02/2018 09:02:00 AM,20180198064,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MARRIOTT DR ,531A,H,13,9101,36.151,-86.69,"(36.151, -86.69)"
PD201800223194,03/02/2018 09:26:00 AM,20180198080,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,HARPETH TRACE SMT ,123A,W,21,4901,36.078,-86.892,"(36.078, -86.892)"
PD201800223626,03/02/2018 12:36:00 PM,20180198528,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,0,BRIDGESTONE PK ,515A,H,13,9027,36.167,-86.691,"(36.167, -86.691)"
PD201800223892,03/02/2018 02:15:00 PM,20180198661,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3500,WEST END AV ,1S44,W,13,6005,36.132,-86.824,"(36.132, -86.824)"
PD201800224812,03/02/2018 07:19:00 PM,20180199432,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,5800,MAUDINA AV ,1F53,W,15,5025,36.145,-86.863,"(36.145, -86.863)"
PD201800231551,03/04/2018 09:37:00 PM,20180205095,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,900,E OLD HICKORY BLVD ,713B,M,13,1629,36.262,-86.691,"(36.262, -86.691)"
PD201800232988,03/05/2018 09:20:00 AM,20180206455,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,BROADMOOR DR ,221A,E,25,1845,36.231,-86.751,"(36.231, -86.751)"
PD201800233228,03/05/2018 10:58:00 AM,20180206662,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4000,BOYD DR ,623A,N,23,3143,36.224,-86.826,"(36.224, -86.826)"
PD201800236555,03/06/2018 07:42:00 AM,20180209700,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,900,MAIN ST ,221A,E,27,1941,36.177,-86.756,"(36.177, -86.756)"
PD201800239794,03/07/2018 01:21:00 AM,20180212552,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV N ,411C,C,11,4159,36.166,-86.78,"(36.166, -86.78)"
PD201800241121,03/07/2018 10:22:00 AM,20180213752,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,12800,OLD HICKORY BLVD ,3S42,S,33,8867,36.031,-86.621,"(36.031, -86.621)"
PD201800241808,03/07/2018 02:17:00 PM,20180214485,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,616B,N,11,4401,36.193,-86.79,"(36.193, -86.79)"
PD201800242017,03/07/2018 03:33:00 PM,20180214599,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,OLD HICKORY BLVD ,835B,MT,33,8623,36.041,-86.779,"(36.041, -86.779)"
PD201800242964,03/07/2018 07:48:00 PM,20180215405,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,5000,LINBAR DR ,325B,S,21,8707,36.081,-86.7,"(36.081, -86.7)"
PD201800244696,03/08/2018 08:05:00 AM,20180217044,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,600,S 8TH ST ,217A,E,11,1023,36.168,-86.756,"(36.168, -86.756)"
PD201800244833,03/08/2018 08:59:00 AM,20180217143,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,HAWKINS ST ,821A,MT,21,6801,36.148,-86.783,"(36.148, -86.783)"
PD201800244961,03/08/2018 09:54:00 AM,20180217278,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,CAMILLA CALDWELL LN ,625A,N,25,3171,36.18,-86.848,"(36.18, -86.848)"
PD201800247198,03/08/2018 09:08:00 PM,20180219247,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,LINCOYA BAY DR ,532B,H,33,8957,36.142,-86.624,"(36.142, -86.624)"
PD201800248749,03/09/2018 07:05:00 AM,20180220717,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1600,BRIDGECREST DR ,325A,S,25,8861,36.067,-86.65,"(36.067, -86.65)"
PD201800249350,03/09/2018 10:36:00 AM,20180221384,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,LAKE CHATEAU DR ,5F23,H,23,9545,36.16,-86.586,"(36.16, -86.586)"
PD201800249951,03/09/2018 01:59:00 PM,20180221708,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2200,JONES AV ,221A,E,23,1835,36.209,-86.756,"(36.209, -86.756)"
PD201800252150,03/10/2018 02:48:00 AM,20180223628,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,SUMMIT VIEW DR ,821C,MT,33,8623,36.039,-86.78,"(36.039, -86.78)"
PD201800253368,03/10/2018 02:19:00 PM,20180224707,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2700,MORENA ST ,615B,N,15,5347,36.163,-86.819,"(36.163, -86.819)"
PD201800256965,03/11/2018 06:20:00 PM,20180227673,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2000,WEST END AV ,815B,MT,11,5713,36.15,-86.801,"(36.15, -86.801)"
PD201800258322,03/12/2018 05:44:00 AM,20180228845,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1400,51ST AV N ,115C,W,15,4609,36.166,-86.85,"(36.166, -86.85)"
PD201800259446,03/12/2018 01:16:00 PM,20180229830,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,900,5TH AV N ,411A,C,13,4217,36.171,-86.786,"(36.171, -86.786)"
PD201800259650,03/12/2018 02:24:00 PM,20180229949,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,OLD HICKORY BLVD W ,7S42,M,23,1743,36.264,-86.717,"(36.264, -86.717)"
PD201800260293,03/12/2018 05:51:00 PM,20180230565,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,BURNING TREE DR ,523B,H,23,9557,36.174,-86.6,"(36.174, -86.6)"
PD201800260566,03/12/2018 07:29:00 PM,20180230888,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3800,ROUND ROCK DR ,334B,S,35,8903,36.035,-86.588,"(36.035, -86.588)"
PD201800262043,03/13/2018 05:49:00 AM,20180232092,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,WHITES CREEK PKE ,627C,N,21,3027,36.232,-86.811,"(36.232, -86.811)"
PD201800262283,03/13/2018 07:32:00 AM,20180232316,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,COUNTRY WAY RD ,535A,H,35,8929,36.078,-86.607,"(36.078, -86.607)"
PD201800262709,03/13/2018 09:58:00 AM,20180232731,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6100,NOLENSVILLE PKE ,331A,S,31,8759,36.023,-86.712,"(36.023, -86.712)"
PD201800262901,03/13/2018 11:02:00 AM,20180232829,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1600,WOODMONT BLVD ,823A,MT,23,6419,36.114,-86.802,"(36.114, -86.802)"
PD201800263307,03/13/2018 01:22:00 PM,20180233269,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,GREAT CIRCLE RD ,615A,N,11,4443,36.199,-86.808,"(36.199, -86.808)"
PD201800263651,03/13/2018 03:12:00 PM,20180233770,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,0,BRIARWICK CT & AVALON CT,522B,H,23,9513,36.183,-86.588,"(36.183, -86.588)"
PD201800268114,03/14/2018 03:30:00 PM,20180238049,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2100,ELM HILL PKE ,512B,H,13,9041,36.15,-86.696,"(36.15, -86.696)"
PD201800271332,03/15/2018 10:20:00 AM,20180240378,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5800,PETTUS RD ,3S52,S,31,8763,36.022,-86.662,"(36.022, -86.662)"
PD201800271676,03/15/2018 12:46:00 PM,20180240678,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3000,CLIFTON AV ,1F49,N,13,4551,36.159,-86.824,"(36.159, -86.824)"
PD201800272399,03/15/2018 04:30:00 PM,20180241257,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,800,6TH AV N ,SP110,C,13,4219,36.17,-86.786,"(36.17, -86.786)"
PD201800272910,03/15/2018 06:58:00 PM,20180241843,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1000,ARBOR KNOLL BLVD ,3F11,S,31,8753,36.04,-86.667,"(36.04, -86.667)"
PD201800274668,03/16/2018 05:38:00 AM,20180243230,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1500,HAMPTON ST ,621C,N,21,3019,36.208,-86.779,"(36.208, -86.779)"
PD201800274695,03/16/2018 05:51:00 AM,20180243246,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,0,I65 S EXT RAMP,617C,N,21,3021,0,0,"(0, 0)"
PD201800275158,03/16/2018 09:15:00 AM,20180243632,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,SUMMERLY DR ,121A,W,21,5021,36.131,-86.873,"(36.131, -86.873)"
PD201800278455,03/17/2018 03:33:00 AM,20180246460,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,0,CENTURY BLVD ,513A,H,13,9115,36.145,-86.687,"(36.145, -86.687)"
PD201800280777,03/17/2018 09:06:00 PM,20180248417,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2700,ELM HILL PKE ,512B,H,17,9105,36.151,-86.669,"(36.151, -86.669)"
PD201800285033,03/19/2018 08:08:00 AM,20180251944,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,GREAT CIRCLE RD ,611A,N,11,4443,36.199,-86.808,"(36.199, -86.808)"
PD201800285263,03/19/2018 09:23:00 AM,20180252125,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1000,JOYCE LN ,221A,E,25,1801,36.234,-86.729,"(36.234, -86.729)"
PD201800286141,03/19/2018 03:06:00 PM,20180252857,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5800,PETTUS RD ,331B,S,31,8763,36.022,-86.662,"(36.022, -86.662)"
PD201800288442,03/20/2018 06:51:00 AM,20180254909,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1200,CLINTON ST ,617A,N,15,5423,36.165,-86.796,"(36.165, -86.796)"
PD201800288945,03/20/2018 09:56:00 AM,20180255358,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3200,BRICK CHURCH PKE ,727A,M,21,2003,36.235,-86.782,"(36.235, -86.782)"
PD201800289523,03/20/2018 01:08:00 PM,20180255886,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,14TH AV N ,811A,MT,13,5501,36.16,-86.794,"(36.16, -86.794)"
PD201800289954,03/20/2018 03:42:00 PM,20180256348,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4500,NOLENSVILLE PKE ,835B,MT,31,8661,36.071,-86.724,"(36.071, -86.724)"
PD201800290110,03/20/2018 04:29:00 PM,20180256384,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,7TH AV N ,415B,C,21,4109,36.16,-86.781,"(36.16, -86.781)"
PD201800290205,03/20/2018 04:58:00 PM,20180256573,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,7600,HIGHWAY 70 S ,125B,W,25,4813,36.079,-86.949,"(36.079, -86.949)"
PD201800292915,03/21/2018 10:19:00 AM,20180258944,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1100,HUNTERS LN ,7S43,M,25,2109,36.279,-86.753,"(36.279, -86.753)"
PD201800293996,03/21/2018 04:15:00 PM,20180259855,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,COMMERCE ST ,413B,C,21,4105,36.162,-86.777,"(36.162, -86.777)"
PD201800296668,03/22/2018 08:06:00 AM,20180262300,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2600,WEST END AV ,811A,MT,15,5815,36.145,-86.811,"(36.145, -86.811)"
PD201800298030,03/22/2018 04:02:00 PM,20180263456,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,WOODMONT BLVD ,117B,W,17,6021,36.125,-86.847,"(36.125, -86.847)"
PD201800298091,03/22/2018 04:24:00 PM,20180263501,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,600,OLD HICKORY BLVD ,1T74,W,23,4701,36.116,-86.922,"(36.116, -86.922)"
PD201800302032,03/23/2018 04:40:00 PM,20180267024,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV S ,4F13,C,25,4053,36.157,-86.775,"(36.157, -86.775)"
PD201800304380,03/24/2018 08:30:00 AM,20180269077,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3200,HOLLAND LN ,621A,N,25,3173,36.181,-86.843,"(36.181, -86.843)"
PD201800307137,03/25/2018 06:07:00 AM,20180271278,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3000,WEST END AV ,811C,MT,13,5625,36.144,-86.815,"(36.144, -86.815)"
PD201800308531,03/25/2018 06:25:00 PM,20180272479,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3600,WOODMONT BLVD ,121B,W,17,6015,36.116,-86.83,"(36.116, -86.83)"
PD201800309208,03/25/2018 11:25:00 PM,20180273035,,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,700,1ST AV N ,413C,C,13,4213,36.172,-86.78,"(36.172, -86.78)"
PD201800310450,03/26/2018 09:22:00 AM,20180274164,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,400,WALTON LN ,2S41,E,25,1805,36.233,-86.751,"(36.233, -86.751)"
PD201800310893,03/26/2018 12:06:00 PM,20180274548,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,MAIN ST ,217A,E,27,1997,36.174,-86.763,"(36.174, -86.763)"
PD201800311378,03/26/2018 03:03:00 PM,20180274958,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,TREUTLAND AV ,222B,E,21,1967,36.18,-86.771,"(36.18, -86.771)"
PD201800311496,03/26/2018 03:36:00 PM,20180275065,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,612B,N,11,4401,36.195,-86.79,"(36.195, -86.79)"
PD201800311777,03/26/2018 05:03:00 PM,20180275335,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,TUCKAHOE SQ W ,721B,M,21,2045,36.26,-86.767,"(36.26, -86.767)"
PD201800315956,03/27/2018 06:48:00 PM,20180278884,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1700,7TH AV N ,617B,N,17,4341,36.182,-86.795,"(36.182, -86.795)"
PD201800318540,03/28/2018 10:53:00 AM,20180281201,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3500,JOHN MALLETTE DR ,6S53,N,25,3121,36.195,-86.838,"(36.195, -86.838)"
PD201800319011,03/28/2018 01:31:00 PM,20180281615,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,STEWARTS FERRY PKE ,517A,H,17,9405,36.163,-86.643,"(36.163, -86.643)"
PD201800321499,03/29/2018 06:02:00 AM,20180283724,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3000,REELFOOT DR ,533C,H,33,8995,36.14,-86.632,"(36.14, -86.632)"
PD201800322222,03/29/2018 10:57:00 AM,20180284325,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3800,WHITLAND AV ,111A,W,13,6009,36.131,-86.831,"(36.131, -86.831)"
PD201800322409,03/29/2018 12:23:00 PM,20180284620,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3200,WHITES CREEK PKE ,603,N,21,3027,36.232,-86.811,"(36.232, -86.811)"
PD201800323874,03/29/2018 08:58:00 PM,20180285755,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,4900,HOPEDALE DR ,323B,S,21,8701,36.073,-86.716,"(36.073, -86.716)"
PD201800325781,03/30/2018 10:32:00 AM,20180287460,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,0,ACADEMY PL ,425A,C,25,4029,36.155,-86.765,"(36.155, -86.765)"
PD201800326222,03/30/2018 01:21:00 PM,20180287874,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,300,LAWNDALE DR ,317A,S,15,8879,36.123,-86.714,"(36.123, -86.714)"
PD201800326284,03/30/2018 01:52:00 PM,20180287947,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,3100,LARKSPUR DR ,221A,E,25,1807,36.233,-86.767,"(36.233, -86.767)"
PD201800329338,03/31/2018 11:45:00 AM,20180290475,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,5000,WHITES CREEK PKE ,621A,N,27,3303,36.296,-86.85,"(36.296, -86.85)"
PD201800329498,03/31/2018 01:26:00 PM,20180290607,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2100,BUENA VISTA PKE ,622B,N,23,3135,36.195,-86.829,"(36.195, -86.829)"
PD201800333163,04/01/2018 07:47:00 PM,20180293621,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6400,FLEETWOOD DR ,117B,W,15,5025,36.14,-86.875,"(36.14, -86.875)"
PD201800334871,04/02/2018 10:28:00 AM,20180295167,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,ATHENS WAY ,612A,N,11,4499,36.196,-86.799,"(36.196, -86.799)"
PD201800335052,04/02/2018 11:37:00 AM,20180295309,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,HUNTINGTON PKWY ,833A,MT,35,8653,36.048,-86.734,"(36.048, -86.734)"
PD201800335207,04/02/2018 12:25:00 PM,20180295520,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,7700,HANSROTE CV ,121A,W,25,4811,36.059,-86.972,"(36.059, -86.972)"
PD201800335837,04/02/2018 03:59:00 PM,20180295981,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1600,UNDERWOOD ST ,615B,N,13,4475,36.174,-86.805,"(36.174, -86.805)"
PD201800335863,04/02/2018 04:07:00 PM,20180296238,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,200,JACKSONIAN DR ,522B,H,21,9601,36.196,-86.628,"(36.196, -86.628)"
PD201800336084,04/02/2018 05:19:00 PM,20180296184,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1200,8TH AV S ,821B,MT,21,6941,36.14,-86.777,"(36.14, -86.777)"
PD201800336601,04/02/2018 08:33:00 PM,20180296622,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3100,CLIFF DR ,625B,N,23,3155,36.198,-86.83,"(36.198, -86.83)"
PD201800338380,04/03/2018 09:04:00 AM,20180298200,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,500,PAPPUS CT ,621A,N,21,3047,36.219,-86.794,"(36.219, -86.794)"
PD201800339242,04/03/2018 01:41:00 PM,20180298970,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,400,BROADWAY ,422A,C,21,4091,36.161,-86.778,"(36.161, -86.778)"
PD201800341337,04/03/2018 11:59:00 PM,20180300738,,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2700,GREER RD ,727C,M,25,2205,36.351,-86.786,"(36.351, -86.786)"
PD201800342707,04/04/2018 09:54:00 AM,20180302348,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,800,MURFREESBORO PKE ,533A,H,31,8815,36.134,-86.722,"(36.134, -86.722)"
PD201800343598,04/04/2018 01:57:00 PM,20180302739,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,600,JOSEPH AV ,221A,E,21,1961,36.181,-86.773,"(36.181, -86.773)"
PD201800346004,04/05/2018 05:06:00 AM,20180304812,C,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,100,CHARLES E DAVIS BLVD ,513C,H,11,8201,36.153,-86.762,"(36.153, -86.762)"
PD201800347904,04/05/2018 04:16:00 PM,20180306430,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1800,DIVISION ST ,811B,MT,11,5705,36.152,-86.794,"(36.152, -86.794)"
PD201800351032,04/06/2018 11:18:00 AM,20180309305,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,PEAK HILL CIR ,833A,MT,35,8651,36.027,-86.717,"(36.027, -86.717)"
PD201800351679,04/06/2018 03:25:00 PM,20180309853,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,4200,HARDING PKE ,113B,W,13,5111,36.129,-86.844,"(36.129, -86.844)"
PD201800352518,04/06/2018 07:19:00 PM,20180310541,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,0,HERMITAGE AV ,423B,C,25,4033,36.157,-86.77,"(36.157, -86.77)"
PD201800357288,04/08/2018 07:28:00 AM,20180314710,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,CUMBERLAND BND ,611A,N,11,4401,36.193,-86.79,"(36.193, -86.79)"
PD201800358221,04/08/2018 03:37:00 PM,20180315518,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,HOSPITAL DR ,713B,M,13,1633,36.255,-86.683,"(36.255, -86.683)"
PD201800358532,04/08/2018 06:13:00 PM,20180315792,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3800,ROUND ROCK DR ,335B,S,35,8903,36.036,-86.588,"(36.036, -86.588)"
PD201800359075,04/08/2018 10:31:00 PM,20180316278,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,600,ROWAN DR ,623C,N,23,3025,36.221,-86.811,"(36.221, -86.811)"
PD201800363874,04/10/2018 06:25:00 AM,20180320539,C,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,BELCLAIRE PL ,113C,W,13,6005,36.13,-86.825,"(36.13, -86.825)"
PD201800364291,04/10/2018 09:11:00 AM,20180321017,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2600,ELM HILL PKE ,517A,H,17,9105,36.153,-86.673,"(36.153, -86.673)"
PD201800364664,04/10/2018 11:21:00 AM,20180321244,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2100,23RD AV N ,611A,N,11,4485,36.185,-86.814,"(36.185, -86.814)"
PD201800365688,04/10/2018 04:56:00 PM,20180322267,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1200,8TH AV S ,823B,MT,21,6941,36.14,-86.777,"(36.14, -86.777)"
PD201800365834,04/10/2018 05:36:00 PM,20180322234,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2500,HIGHLAND TRACE DR ,610B,N,21,3047,36.221,-86.802,"(36.221, -86.802)"
PD201800368003,04/11/2018 07:48:00 AM,20180324203,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2000,GLEN ECHO RD ,825A,MT,25,6413,36.109,-86.812,"(36.109, -86.812)"
PD201800368261,04/11/2018 09:01:00 AM,20180324433,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,BELCLAIRE PL ,113A,W,13,6005,36.13,-86.825,"(36.13, -86.825)"
PD201800368867,04/11/2018 12:23:00 PM,20180324998,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5900,CROSSINGS BLVD ,331A,S,33,8867,36.035,-86.636,"(36.035, -86.636)"
PD201800369377,04/11/2018 03:12:00 PM,20180325534,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1000,KIPLING DR ,532B,H,31,8821,36.127,-86.698,"(36.127, -86.698)"
PD201800370576,04/11/2018 08:59:00 PM,20180326378,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1700,7TH AV N ,617B,N,17,4341,36.183,-86.796,"(36.183, -86.796)"
PD201800373175,04/12/2018 01:50:00 PM,20180328727,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,5500,PETTUS RD ,332A,S,31,8761,36.028,-86.673,"(36.028, -86.673)"
PD201800373337,04/12/2018 02:51:00 PM,20180328868,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,PEPPER RIDGE CIR ,325B,S,23,8897,36.076,-86.666,"(36.076, -86.666)"
PD201800373357,04/12/2018 02:57:00 PM,20180328900,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,800,S 6TH ST ,213B,E,11,1021,36.165,-86.758,"(36.165, -86.758)"
PD201800373430,04/12/2018 03:22:00 PM,20180329177,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,700,MCGAVOCK PKE ,515B,H,17,9103,36.147,-86.684,"(36.147, -86.684)"
PD201800373572,04/12/2018 04:01:00 PM,20180329041,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,900,MAIN ST ,213B,E,13,1131,36.178,-86.752,"(36.178, -86.752)"
